Linha Lexema               Token           Valor          
----- -------------------- --------------- ---------------
1     #                    DESCONHECIDO    #              
13    5                    NUMERAL         5              
13    .                    DESCONHECIDO    .              
13    \                    DESCONHECIDO    \              
13    n                    IDENTIFICADOR   None           
13    "                    DESCONHECIDO    "              
13    )                    DELIMITADOR     )              
13    ;                    DELIMITADOR     ;              
14    }                    DELIMITADOR     }              
14    água                 DESCONHECIDO    água           
14    -                    OPERADOR        -              
14    marinha              IDENTIFICADOR   None           
14    {                    DELIMITADOR     {              
15    ametista             PALAVRA-CHAVE   None           
15    (                    DELIMITADOR     (              
15    "                    DESCONHECIDO    "              
15    Número               IDENTIFICADOR   None           
15    é                    DESCONHECIDO    é              
15    menor                IDENTIFICADOR   None           
15    ou                   IDENTIFICADOR   None           
15    igual                IDENTIFICADOR   None           
15    a                    IDENTIFICADOR   None           
15    5                    NUMERAL         5              
15    .                    DESCONHECIDO    .              
15    \                    DESCONHECIDO    \              
15    n                    IDENTIFICADOR   None           
15    "                    DESCONHECIDO    "              
15    )                    DELIMITADOR     )              
15    ;                    DELIMITADOR     ;              
16    }                    DELIMITADOR     }              
18    safira               PALAVRA-CHAVE   None           
18    sum                  IDENTIFICADOR   None           
18    =                    OPERADOR        =              
18    number               IDENTIFICADOR   None           
18    +                    OPERADOR        +              
18    10                   NUMERAL         10             
18    ;                    DELIMITADOR     ;              
19    safira               PALAVRA-CHAVE   None           
19    product              IDENTIFICADOR   None           
19    =                    OPERADOR        =              
19    number               IDENTIFICADOR   None           
19    *                    OPERADOR        *              
19    3                    NUMERAL         3              
19    ;                    DELIMITADOR     ;              
20    diamante             PALAVRA-CHAVE   None           
20    division             IDENTIFICADOR   None           
20    =                    OPERADOR        =              
20    decimal              IDENTIFICADOR   None           
20    /                    OPERADOR        /              
20    1                    NUMERAL         1              
20    .                    DESCONHECIDO    .              
20    5                    NUMERAL         5              
20    ;                    DELIMITADOR     ;              
22    ametista             PALAVRA-CHAVE   None           
22    (                    DELIMITADOR     (              
22    "                    DESCONHECIDO    "              
22    Soma                 IDENTIFICADOR   None           
22    :                    DESCONHECIDO    :              
22    %                    DESCONHECIDO    %              
22    d                    IDENTIFICADOR   None           
22    \                    DESCONHECIDO    \              
22    n                    IDENTIFICADOR   None           
22    "                    DESCONHECIDO    "              
22    ,                    DELIMITADOR     ,              
22    sum                  IDENTIFICADOR   None           
22    )                    DELIMITADOR     )              
22    ;                    DELIMITADOR     ;              
23    ametista             PALAVRA-CHAVE   None           
23    (                    DELIMITADOR     (              
23    "                    DESCONHECIDO    "              
23    Produto              IDENTIFICADOR   None           
23    :                    DESCONHECIDO    :              
23    %                    DESCONHECIDO    %              
23    d                    IDENTIFICADOR   None           
23    \                    DESCONHECIDO    \              
23    n                    IDENTIFICADOR   None           
23    "                    DESCONHECIDO    "              
23    ,                    DELIMITADOR     ,              
23    product              IDENTIFICADOR   None           
23    )                    DELIMITADOR     )              
23    ;                    DELIMITADOR     ;              
24    ametista             PALAVRA-CHAVE   None           
24    (                    DELIMITADOR     (              
24    "                    DESCONHECIDO    "              
24    Divisão              IDENTIFICADOR   None           
24    :                    DESCONHECIDO    :              
24    %                    DESCONHECIDO    %              
24    .                    DESCONHECIDO    .              
24    2f                   DESCONHECIDO    2f             
24    \                    DESCONHECIDO    \              
24    n                    IDENTIFICADOR   None           
24    "                    DESCONHECIDO    "              
24    ,                    DELIMITADOR     ,              
24    division             IDENTIFICADOR   None           
24    )                    DELIMITADOR     )              
24    ;                    DELIMITADOR     ;              
26    safira               PALAVRA-CHAVE   None           
26    counter              IDENTIFICADOR   None           
26    ;                    DELIMITADOR     ;              
27    topazio              PALAVRA-CHAVE   None           
27    (                    DELIMITADOR     (              
27    counter              IDENTIFICADOR   None           
27    =                    OPERADOR        =              
27    0                    NUMERAL         0              
27    ;                    DELIMITADOR     ;              
27    counter              IDENTIFICADOR   None           
27    <                    OPERADOR        <              
27    3                    NUMERAL         3              
27    ;                    DELIMITADOR     ;              
27    counter              IDENTIFICADOR   None           
27    =                    OPERADOR        =              
27    counter              IDENTIFICADOR   None           
27    +                    OPERADOR        +              
27    1                    NUMERAL         1              
27    )                    DELIMITADOR     )              
27    {                    DELIMITADOR     {              
28    ametista             PALAVRA-CHAVE   None           
28    (                    DELIMITADOR     (              
28    "                    DESCONHECIDO    "              
28    Contador             IDENTIFICADOR   None           
28    :                    DESCONHECIDO    :              
28    %                    DESCONHECIDO    %              
28    d                    IDENTIFICADOR   None           
28    \                    DESCONHECIDO    \              
28    n                    IDENTIFICADOR   None           
28    "                    DESCONHECIDO    "              
28    ,                    DELIMITADOR     ,              
28    counter              IDENTIFICADOR   None           
28    )                    DELIMITADOR     )              
28    ;                    DELIMITADOR     ;              
29    }                    DELIMITADOR     }              
31    return               PALAVRA-CHAVE   None           
31    0                    NUMERAL         0              
31    ;                    DELIMITADOR     ;              
32    }                    DELIMITADOR     }              
